City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Desc
1126,Bulawayo,ZW,-20.15,28.5833,81.1,17,5,3.85,clear sky
1127,Port Alfred,ZA,-33.5906,26.891,62.13,62,0,18.45,clear sky
1128,Mataura,NZ,-46.1927,168.8643,41.49,87,29,3.78,light rain
1129,Fundao,BR,-19.9341,-40.4047,85.46,36,5,6.02,clear sky
1130,Villa Union,MX,23.2,-106.2333,84.16,89,75,0.0,broken clouds
1131,Puerto Ayora,EC,-0.7393,-90.3518,71.56,96,95,5.01,light rain
1132,Shelburne,CA,44.0787,-80.2041,81.73,54,23,6.42,few clouds
1133,Tiksi,RU,71.6872,128.8694,40.87,96,100,8.21,overcast clouds
1134,Lokosovo,RU,61.1333,74.8167,68.95,81,39,5.64,scattered clouds
1135,Ntungamo,UG,-0.8833,29.65,75.47,63,88,1.34,light rain
1136,Albany,US,42.6001,-73.9662,82.15,81,94,5.14,overcast clouds
1137,Chokurdakh,RU,70.6333,147.9167,45.73,86,86,13.94,overcast clouds
1138,Hamilton,US,39.1834,-84.5333,84.99,65,17,1.99,few clouds
1139,Tezu,IN,27.9167,96.1667,76.39,98,98,2.48,overcast clouds
1140,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.94,50,65,7.09,broken clouds
1141,Vaini,TO,-21.2,-175.2,69.96,100,75,5.75,light rain
1142,Jamestown,US,42.097,-79.2353,80.29,83,43,2.37,scattered clouds
1143,Ushuaia,AR,-54.8,-68.3,35.22,80,0,5.75,clear sky
1144,Namatanai,PG,-3.6667,152.4333,79.09,84,100,10.42,light rain
1145,Rikitea,PF,-23.1203,-134.9692,68.85,53,76,17.83,broken clouds
1146,Caravelas,BR,-17.7125,-39.2481,80.56,49,12,8.93,few clouds
1147,Lagoa,PT,39.05,-27.9833,73.08,76,0,10.36,clear sky
1148,Longyearbyen,SJ,78.2186,15.6401,40.84,75,75,5.75,broken clouds
1149,Luangwa,ZM,-15.6167,30.4167,88.43,23,1,8.84,clear sky
1150,Touros,BR,-5.1989,-35.4608,85.1,57,3,18.19,clear sky
1151,Port Elizabeth,ZA,-33.918,25.5701,62.89,63,0,18.41,clear sky
1152,Hermanus,ZA,-34.4187,19.2345,59.81,60,4,10.29,clear sky
1153,Bonavista,CA,48.6499,-53.1147,62.11,75,93,11.5,overcast clouds
1154,Rikitea,PF,-23.1203,-134.9692,68.85,53,76,17.83,broken clouds
1155,Yuanping,CN,38.7153,112.7575,66.96,88,97,1.88,overcast clouds
1156,Mataura,NZ,-46.1927,168.8643,41.49,87,29,3.78,light rain
1157,Qaanaaq,GL,77.484,-69.3632,38.44,82,100,4.29,overcast clouds
1158,Ushuaia,AR,-54.8,-68.3,35.22,80,0,5.75,clear sky
1159,Rikitea,PF,-23.1203,-134.9692,68.85,53,76,17.83,broken clouds
1160,Hilo,US,19.7297,-155.09,72.63,92,17,1.01,few clouds
1161,Pindwara,IN,24.8,73.0667,80.51,67,72,4.5,broken clouds
1162,Barrow,US,71.2906,-156.7887,42.82,87,90,19.57,fog
1163,Castro,BR,-24.7911,-50.0119,78.69,30,0,4.88,clear sky
