City_ID,City,Country,Max Temp,Current Desc,Lat,Lng,Hotel Name
750,Abay,KZ,70.18,clear sky,49.6311,72.8539,Guest House on Abaya 144
753,Butaritari,KI,79.79,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
755,Mahebourg,MU,72.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
759,Karratha,AU,72.28,clear sky,-20.7377,116.8463,ibis Styles Karratha
776,Butaritari,KI,79.79,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
781,Hilo,US,72.63,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
785,Hilo,US,72.63,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
787,Saint-Philippe,RE,72.95,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
789,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
791,Asau,RO,79.39,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
797,Sokoni,TZ,77.27,clear sky,-6.4333,39.55,Ujamaa Beach Resort
800,Hilo,US,72.63,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
801,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
802,Ankola,IN,78.37,few clouds,14.6667,74.3,Hotel Kamat Plus
805,Puerto Ayora,EC,71.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
812,Shingu,JP,79.92,overcast clouds,33.7333,135.9833,Shingu UI Hotel
824,Snoghoj,DK,70.45,broken clouds,55.5225,9.7213,Hindsgavl Castle
830,Lang Suan,TH,77.5,scattered clouds,9.9456,99.0785,Langsuan Resort
832,Waspan,NI,79.95,overcast clouds,14.7419,-83.9717,Hostal casa de la rose
840,Tabou,CI,77.67,light rain,4.423,-7.3528,hotêl doufoulougou
842,Belmonte,BR,78.33,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
843,Benguela,AO,74.37,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
844,Pasni,PK,78.93,clear sky,25.2631,63.471,Kashmiri Hotal
845,Gemena,CD,71.49,overcast clouds,3.25,19.7667,Hôtel Goshen
846,Rayagada,IN,77.38,scattered clouds,19.1667,83.4167,"Hotel Swagath, Rayagada"
851,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
856,Bambous Virieux,MU,73.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
873,Bandarbeyla,SO,78.04,few clouds,9.4942,50.8122,JABIR HOTEL
882,Sayyan,YE,72.12,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
901,Hilo,US,72.63,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
903,Butaritari,KI,79.79,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
904,Hilo,US,72.63,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
907,Jiayuguan,CN,74.91,overcast clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
908,Saint George,US,79.54,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
917,Saint-Philippe,RE,72.95,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
926,Soyo,AO,75.76,few clouds,-6.1349,12.3689,Hotel Mpampa
929,Ozu,JP,75.07,overcast clouds,33.5,132.55,HOTEL FOREST
937,Kamaishi,JP,72.46,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
943,Sao Joao Da Barra,BR,75.88,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
944,Puerto Ayora,EC,71.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
948,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
950,Bandarbeyla,SO,78.04,few clouds,9.4942,50.8122,JABIR HOTEL
954,Kawalu,ID,70.27,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
959,Sambava,MG,72.9,clear sky,-14.2667,50.1667,Melrose
961,Butaritari,KI,79.79,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
966,Lugovoy,KZ,78.12,broken clouds,42.9472,72.7644,Ж.Д Вокзал Луговая
973,Asau,RO,79.39,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
976,Saint George,US,79.54,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
979,Atasu,KZ,77.02,clear sky,48.6814,71.6433,Dostyk
986,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
994,Puerto Ayora,EC,71.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
996,Mikuni,JP,74.46,overcast clouds,36.2171,136.1519,Haiya
1003,Castro,BR,78.69,clear sky,-24.7911,-50.0119,CHACARA BAILLY
1016,Camargo,MX,72.23,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
1018,Atuona,PF,76.86,few clouds,-9.8,-139.0333,Villa Enata
1024,Luanda,AO,74.73,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
1027,Moerai,PF,71.82,overcast clouds,-22.4333,-151.3333,Le Manotel
1032,Lorengau,PG,78.71,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
1035,Tumpat,MY,79.5,scattered clouds,6.1978,102.171,Baan Tanyong B&B
